Tahun;P;Provinsi;Kabupaten/Kota;Nama Fasilitas;Jenis;Status;Sampahmasuk (kg/thn);Sampahterkelola (kg/thn);Bahan baku Pakan Ternak;Bahan baku Kompos;Bahan baku Daur Ulang;Bahan baku Up-cycle;Alamat;Kelurahan;Kecamatan;Pengelola
2023;1;Aceh;Kab. Simeulue;DS;BSU;A;600,00;600,00;0,00;0,00;600,00;0,00;Jln. T. Umar;;;LSM
2023;1;Aceh;Kab. Simeulue;Sarok Fulawan;BSU;A;600,00;600,00;0,00;0,00;600,00;0,00;Jln. T. Umar;;;LSM
2023;1;Aceh;Kab. Simeulue;DS;BSU;A;600,00;600,00;0,00;0,00;600,00;0,00;Jln. T. Umar;;;LSM
2023;1;Aceh;Kab. Simeulue;Sarok Fulawan;BSU;A;600,00;600,00;0,00;0,00;600,00;0,00;Jln. T. Umar;;;LSM
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Unsyiah;BSU;A;8.866,60;8.858,20;0,00;0,00;8.858,20;0,00;Jl. Syech Abdurrauf;Kopelma Darussalam;Syiah Kuala;LSM
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Subur Makmur;BSU;A;409,20;409,20;0,00;0,00;409,20;0,00;Jl. Twk hasyim Banta Muda;Laksana;Kuta Alam;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit WCP Alue Deah Teungoh;BSU;A;2.948,40;2.936,40;0,00;0,00;2.936,40;0,00;Jl. Rama setia;Alue Deah Teungoh;Meuraxa;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah WCP Deah Glumpang;BSU;A;2.166,40;2.149,60;0,00;0,00;2.149,60;0,00;Jl. Rama Setia;Deah Glumpang;Meuraxa;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah WCP Kopelma Darussalam;BSU;A;691,68;679,68;0,00;0,00;679,68;0,00;Jl. Siyung yung;Kopelma Darussalam;Syiah Kuala;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank sampah WCP Pie;BSU;A;326,53;314,53;0,00;0,00;314,53;0,00;Jl. Prof Ibrahim Hasan;Gampong Pie;Meuraxa;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah WCP Seutui;BSU;A;694,80;687,60;0,00;0,00;687,60;0,00;Jl. Mushalla Sibayak;Seutui;Baiturrahman;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah WCP Peurada;BSU;A;443,60;442,40;0,00;0,00;424,40;18,00;Jl. Flamboyan;Peurada;Syiah Kuala;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah Guna Bersama;BSU;A;12.004,50;12.004,50;0,00;0,00;12.004,50;0,00;Jl. Pemuda;Surien;Meuraxa;LSM
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah Lambung Lestari;BSU;A;1.502,80;1.502,80;0,00;0,00;1.502,80;0,00;Jl. Melati;Lambung;Meuraxa;LSM
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah Mitra;BSU;A;1.027,20;1.026,00;0,00;0,00;1.026,00;0,00;Jl. Tgk Lam Oe Nomor 2;Kota Baru;Kuta Alam;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit Bank Sampah WCP Lambaro skep;BSU;A;573,00;561,00;0,00;0,00;561,00;0,00;Jl. Diwai Makam;Lambaro Skep;Kuta Alam;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah WCP Lamjamee;BSU;A;824,60;817,40;0,00;0,00;817,40;0,00;Jl. Utama No. 99;Lamjamee;Meuraxa;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah WCP Neusu Aceh;BSU;A;486,80;474,80;0,00;0,00;474,80;0,00;Jalan melati;Gampong Neusu Aceh;Baiturrahman;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah WCP Blang;BSU;A;586,56;586,20;0,00;0,00;586,20;0,00;Jalan Pendidikan Komplek Kantor Keuchik;Gampong Blang;Meuraxa;Masyarakat
2023;1;Aceh;Kota Banda Aceh;Bank Sampah Unit WCP Penyerat;BSU;A;527,70;515,70;0,00;0,00;458,10;57,60;Jln. T. Di Lhong I, Lr. Cot Geulundong II, Dusun Keuchik Mahmud,;;;Masyarakat
2023;1;Aceh;Kota Langsa;Bank Sampah Unit SDN 2 Matang Seulimeng;BSU;A;120,00;120,00;0,00;0,00;60,00;60,00;Jalan Prof. Majid Ibrahim;Matang Seulimeng;Langsa Barat;LSM
