Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun);Sampah Terkelola Tahunan (ton/tahun)
2022;Aceh;Kab. Aceh Selatan;35.218;12.820
2022;Aceh;Kab. Aceh Tenggara;33.333;10.407
2022;Aceh;Kab. Aceh Timur;63.196;21.161
2022;Aceh;Kab. Aceh Barat;37.022;32.017
2022;Aceh;Kab. Pidie;64.898;32.620
2022;Aceh;Kab. Simeulue;16.281;7.133
2022;Aceh;Kab. Aceh Singkil;19.261;1.867
2022;Aceh;Kab. Aceh Barat Daya;28.348;8.558
2022;Aceh;Kab. Gayo Lues;14.986;9.684
2022;Aceh;Kab. Aceh Jaya;17.231;11.459
2022;Aceh;Kab. Nagan Raya;25.315;12.845
2022;Aceh;Kab. Aceh Tamiang;44.063;20.075
2022;Aceh;Kab. Bener Meriah;24.085;9.411
2022;Aceh;Kab. Pidie Jaya;29.029;7.132
2022;Aceh;Kota Banda Aceh;92.056;90.191
2022;Aceh;Kota Sabang;6.308;5.998
2022;Aceh;Kota Langsa;34.470;29.767
2022;Aceh;Kota Subulussalam;13.530;9.125
2022;Sumatera Utara;Kab. Tapanuli Tengah;67.397;21.432
2022;Sumatera Utara;Kab. Nias;21.272;2.757
2022;Sumatera Utara;Kab. Langkat;190.324;33.179
2022;Sumatera Utara;Kab. Deli Serdang;411.211;257.906
2022;Sumatera Utara;Kab. Simalungun;186.445;45.718
2022;Sumatera Utara;Kab. Asahan;172.565;64.926
2022;Sumatera Utara;Kab. Toba;35.059;18.498
2022;Sumatera Utara;Kab. Humbang Hasundutan;21.654;14.092
2022;Sumatera Utara;Kota Medan;628.749;518.253
2022;Sumatera Utara;Kota Pematang Siantar;88.121;84.045
2022;Sumatera Utara;Kota Tebing Tinggi;45.488;39.232
2022;Sumatera Utara;Kota Padangsidimpuan;59.066;45.005
2022;Sumatera Barat;Kab. Pesisir Selatan;55.803;23.032
2022;Sumatera Barat;Kab. Solok;57.559;13.255
2022;Sumatera Barat;Kab. Sijunjung;35.514;14.674
2022;Sumatera Barat;Kab. Tanah Datar;47.057;25.431
2022;Sumatera Barat;Kab. Padang Pariaman;79.594;5.063
2022;Sumatera Barat;Kab. Agam;77.994;31.057
2022;Sumatera Barat;Kab. Lima Puluh Kota;55.955;19.363
2022;Sumatera Barat;Kab. Pasaman;44.253;26.473
2022;Sumatera Barat;Kab. Dharmasraya;37.831;35.841
2022;Sumatera Barat;Kab. Solok Selatan;26.989;11.643
2022;Sumatera Barat;Kab. Pasaman Barat;63.877;21.656
2022;Sumatera Barat;Kota Padang;234.973;220.300
2022;Sumatera Barat;Kota Solok;19.810;19.778
2022;Sumatera Barat;Kota Sawahlunto;6.883;6.771
